Program,Year,Period,Geo Level,State,Ag District,Ag District Code,County,County ANSI,Commodity,Data Item,Value,CV (%)
SURVEY,2020,YEAR,COUNTY,INDIANA,CENTRAL,50,BARTHOLOMEW,5,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",187.5,3.1
SURVEY,2020,YEAR,COUNTY,INDIANA,CENTRAL,50,BOONE,11,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",221.9,1.5
SURVEY,2020,YEAR,COUNTY,INDIANA,CENTRAL,50,CLINTON,23,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",207.1,1.9
SURVEY,2020,YEAR,COUNTY,INDIANA,CENTRAL,50,DECATUR,31,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",209.5,1.6
SURVEY,2020,YEAR,COUNTY,INDIANA,CENTRAL,50,GRANT,53,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",187.8,3.5
SURVEY,2020,YEAR,COUNTY,INDIANA,CENTRAL,50,HAMILTON,57,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",188.7,4.9
SURVEY,2020,YEAR,COUNTY,INDIANA,CENTRAL,50,HANCOCK,59,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",188.5,2.5
SURVEY,2020,YEAR,COUNTY,INDIANA,CENTRAL,50,HENDRICKS,63,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",205.2,2.2
SURVEY,2020,YEAR,COUNTY,INDIANA,CENTRAL,50,HOWARD,67,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",213.1,1.4
SURVEY,2020,YEAR,COUNTY,INDIANA,CENTRAL,50,JOHNSON,81,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",184.2,2.2
SURVEY,2020,YEAR,COUNTY,INDIANA,CENTRAL,50,MADISON,95,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",204.7,1.5
SURVEY,2020,YEAR,COUNTY,INDIANA,CENTRAL,50,MARION,97,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",191.9,5.9
SURVEY,2020,YEAR,COUNTY,INDIANA,CENTRAL,50,MORGAN,109,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",188,1.8
SURVEY,2020,YEAR,COUNTY,INDIANA,CENTRAL,50,RUSH,139,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",201.9,1.2
SURVEY,2020,YEAR,COUNTY,INDIANA,CENTRAL,50,SHELBY,145,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",191,2
SURVEY,2020,YEAR,COUNTY,INDIANA,CENTRAL,50,TIPTON,159,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",216.7,2
SURVEY,2020,YEAR,COUNTY,INDIANA,EAST CENTRAL,60,BLACKFORD,9,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",187.9,0.9
SURVEY,2020,YEAR,COUNTY,INDIANA,EAST CENTRAL,60,DELAWARE,35,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",192,1.3
SURVEY,2020,YEAR,COUNTY,INDIANA,EAST CENTRAL,60,FAYETTE,41,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",191.5,2.4
SURVEY,2020,YEAR,COUNTY,INDIANA,EAST CENTRAL,60,HENRY,65,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",196.6,2.7
SURVEY,2020,YEAR,COUNTY,INDIANA,EAST CENTRAL,60,JAY,75,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",179.9,1.9
SURVEY,2020,YEAR,COUNTY,INDIANA,EAST CENTRAL,60,RANDOLPH,135,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",183.9,2.2
SURVEY,2020,YEAR,COUNTY,INDIANA,EAST CENTRAL,60,UNION,161,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",208.9,1.7
SURVEY,2020,YEAR,COUNTY,INDIANA,EAST CENTRAL,60,WAYNE,177,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",186.6,2.2
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTH CENTRAL,20,CARROLL,15,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",209.6,2
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTH CENTRAL,20,CASS,17,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",200.4,1.7
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTH CENTRAL,20,ELKHART,39,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",174.8,2.9
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTH CENTRAL,20,FULTON,49,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",181,1.3
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTH CENTRAL,20,KOSCIUSKO,85,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",172.9,3.1
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTH CENTRAL,20,MARSHALL,99,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",175.5,2.3
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTH CENTRAL,20,MIAMI,103,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",180.8,2.8
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTH CENTRAL,20,ST. JOSEPH,141,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",167.7,4.9
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTH CENTRAL,20,WABASH,169,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",174.2,1.8
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTHEAST,30,ADAMS,1,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",179.9,2.4
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTHEAST,30,ALLEN,3,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",165.2,2.6
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTHEAST,30,DE KALB,33,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",136.6,3.3
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTHEAST,30,HUNTINGTON,69,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",186.1,1.7
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTHEAST,30,LAGRANGE,87,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",143.5,7.4
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTHEAST,30,NOBLE,113,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",175.3,4.1
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTHEAST,30,STEUBEN,151,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",145.6,3.4
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTHEAST,30,WELLS,179,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",188.5,1.6
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTHEAST,30,WHITLEY,183,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",159.6,1.8
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTHWEST,10,BENTON,7,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",204.5,1.8
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTHWEST,10,JASPER,73,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",172.3,3.3
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTHWEST,10,LA PORTE,91,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",147.8,2.2
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTHWEST,10,LAKE,89,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",171.3,1.6
SURVEY,2020,YEAR,COUNTY,INDIANA,NORTHWEST,10,NEWTON,111,CORN,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",192.9,2.1
